㕣(yǎn): 山间泥沼地; 字数: 5
唯(wěi): 象声词; 字数: 3
唯(wéi): 副词; 字数: 2
唰(shuā): 鸟理毛; 字数: 3
唰(shuā): 小尝; 字数: 2
唰(huā): 鸟理毛; 字数: 3
唱(chàng): 领唱；领奏; 字数: 4
唲(ér): 〔嚅唲〕也作“儒兒”; 字数: 6
唲(wā): 〔唲嘔〕小儿语声; 字数: 6
唳(lì): 鹤高亢地鸣叫; 字数: 6
唴(qiàng): 哭泣不止; 字数: 4
唵(ǎn): 含; 字数: 1
唵(ān): 叹词，表应答; 字数: 5
唶(zé): 嗍；吮吸; 字数: 3
唶(jiè): 嗟叹；赞叹; 字数: 4
唷(yù): 出声; 字数: 2
唷(yō): 〔喔唷〕叹词; 字数: 4
唸(diàn): 〔唸㕧〕也作“殿屎”; 字数: 6
唸(niàn): 方言; 字数: 2
唹(yū): 笑貌; 字数: 2
唺(tiǎn): 吐; 字数: 1
唻(lài): 语气词; 字数: 3
唻(lai（又读lái）): 歌词中的衬音用字; 字数: 8
唼(shà): 水鸟、鱼类争食; 字数: 6
唼(qiè): 〔唼佞〕谗言; 字数: 4
唽(xī): 〔唽唽〕也作“𠴭𠴭”; 字数: 6
唾(tuò): 口液；唾沫; 字数: 4
啀(i): 犬类相斗龇牙咧嘴貌; 字数: 9
啁(zhāo): 〔啁嘐〕夸语; 字数: 4
啁(dāo): 〔嘐啁〕见“嘐（láo）”; 字数: 7
啁(zhōu): 〔啁噍〕1.鸟鸣声; 字数: 5
啁(tiáo（旧读diào）): 戏谑，调笑; 字数: 4
啃(ěn): 一点儿一点儿地往下咬; 字数: 10
啄(zhuó): 鸟用嘴取食; 字数: 5
啅(zhuó): 众口貌; 字数: 3
啅(zhào): （鸟声）噪聒; 字数: 4
商(shāng): 估量; 字数: 2
啇(dì): 生物的基趾部位; 字数: 7
啇(shì): 和; 字数: 1
啈(hèng): 表示厉害、发狠的声音; 字数: 9
啈(hēng): 叹词; 字数: 2
啉(lán): 古称行酒一巡为啉; 字数: 8
啉(lìn): 呆傻貌; 字数: 3
啉(lín): 译音用字; 字数: 4
啊(è): 爱恶声; 字数: 3
啊(ā): 叹词; 字数: 2
啊(á): 叹词; 字数: 2
啊(ǎ): 叹词; 字数: 2
啊(à): 叹词; 字数: 2
啊(a): 助词; 字数: 2
啋(cǎi): 幸运，喜幸; 字数: 4
啋(cāi): 语气词; 字数: 3
啌(xiāng): 怒叱声; 字数: 3
啍(tūn): 《集韻》他昆切; 字数: 5
啍(zhūn): 壮健貌; 字数: 3
啍(xiāng): 愚笨貌; 字数: 3
啍(tuī): 〔啍䜄〕言语不正; 字数: 6
啍(duǐ): 戏言; 字数: 2
啎(wǔ): 背逆；抵触; 字数: 4
問(wèn): 询问; 字数: 2
啐(cuì): 惊; 字数: 1
啐(zú): 象声词; 字数: 3
啐(è): 怒拒声; 字数: 3
啑(shà): 〔啑喋〕也作“唼喋”; 字数: 6
啑(jié): 多言; 字数: 2
啒(gǔ): 忧貌; 字数: 2
啓(qǐ): 打开; 字数: 2
啖(dàn): 吃; 字数: 1
啗(dàn): 包含; 字数: 2
啘(yè): 干呕; 字数: 2
啘(wā): 方言; 字数: 2
啙(zǐ): 弱；劣; 字数: 2
啚(bǐ): 啬; 字数: 1
啛(uì): 方言; 字数: 2
啜(chuò): 尝；喝; 字数: 2
啜(zhuó): 唠叨; 字数: 2
啜(chuài): 姓; 字数: 1
啝(é): 小儿啼; 字数: 3
啞(è): 笑声; 字数: 2
啞(yā): 象声词; 字数: 3
啞(yǎ): 由于生理缺陷或疾病而失去言语功能; 字数: 16
啡(pèi): 卧息; 字数: 2
啡(pái): 吹; 字数: 1
啡(fēi): 译音用字; 字数: 4
啢(liǎng（又读yīngliǎng）): liǎng（又读yīngliǎng）; 字数: 16
啤(bēi): 喉病，不能大声说话; 字数: 8
啤(pí): 〔啤酒〕德文bier的音译兼意译; 字数: 14
啥(shá（又读shà）): 方言; 字数: 2
啦(la): 助词; 字数: 2
啨(yīng): 〔啨呤〕也作“呤呤”; 字数: 6
啨(qíng): 静; 字数: 1
啪(pā): 象声词; 字数: 3
啳(quán): 〔啳𦝢〕也作“䑏𦝢”; 字数: 6
啳(jué): 方言; 字数: 2
啵(bō): 象声词; 字数: 3
啵(bo): 助词; 字数: 2
啶(d靚g): 译音用字; 字数: 4
啷(āng): *东北*方言; 字数: 6
啻(chì): 副词; 字数: 2
啻(dì): 高声; 字数: 2
啼(í): 啼哭; 字数: 2
啽(án): 〔啽囈〕梦中语声; 字数: 6
啽(ān): 〔啽默〕缄默不言; 字数: 6
啾(jiū): 象声词; 字数: 3
啿(àn): 〔啿啿〕也作“湛湛”; 字数: 6
喀(kā): 象声词; 字数: 3
喀(kè): 方言; 字数: 2
喀(ke): 方言; 字数: 2
喁(yóng): 鱼口露出水面咂动貌; 字数: 9
喁(yú): 应和声; 字数: 3
喂(èi): 哺食；喂养; 字数: 4
喃(nán): 〔喃喃〕象声词; 字数: 5
喃(nǎn): 〔噆喃〕尝; 字数: 3
善(lǎng): 吉祥；美好; 字数: 4
喅(yù): 众声喧哗; 字数: 4
喇(lǎ): 〔喝喇〕言急; 字数: 4
喇(lá): 〔半喇子儿〕一半; 字数: 6
喇(lā): 象声词; 字数: 3
喇(la): 〔哈喇〕形容食油或含油食物日久变坏的味道; 字数: 18
喈(jiē): 〔喈喈〕象声词; 字数: 5
喈(xiè): 声; 字数: 1
喉(hóu): 人和陆栖脊椎动物呼吸道的前（上）端部分，上递咽，下接气管，兼有通气和发音的功能; 字数: 34
喊(hǎn): 尝味; 字数: 2
喊(kàn): 呵责; 字数: 2
喋(dié): 说话多，语言烦琐; 字数: 7
喋(dié): 流血貌; 字数: 3
喋(zhá): 〔唼喋〕水鸟或鱼类吃食; 字数: 9
喋(qiè): 方言; 字数: 2
喌(zhōu): 〔喌喌〕唤鸡声; 字数: 5
喍(chái): 〔喍啀〕也作“啀喍”; 字数: 6
喎(wāi): 嘴歪，即由于颜面神经麻痹，口角向另一侧歪斜的病症; 字数: 22
喏(rě): 唱喏，古代作揖致敬时口中同时发出的声音; 字数: 18
喏(nuò): 方言; 字数: 2
喑(yīn): 小儿哭泣不止; 字数: 6
喑(yǐn): 〔喑醷〕聚气貌; 字数: 5
喑(yìn): 〔喑噁〕也作“意烏”; 字数: 6
喒(zǎn): 〔喒喒〕味; 字数: 3
喒(zà): 语气词; 字数: 3
喓(yāo): 〔喓喓〕虫声; 字数: 4
喔(wō): 鸡鸣；鸡啼声; 字数: 5
喔(wū): 雉声; 字数: 2
喔(ò): 叹词; 字数: 2
喔(o): 语气词; 字数: 3
喕(miǎn): 不言; 字数: 2
喖(hú): 咽喉; 字数: 2
喗(yǔn): 大口；口大齿丑貌; 字数: 7
喘(chuǎn): 急促呼吸; 字数: 4
喙(huì): 鸟兽虫鱼的嘴; 字数: 6
喙(zhòu): 《字彙》職救切; 字数: 5
喛(huàn): 悲恚; 字数: 2
喛(yuán): 哀; 字数: 1
喛(hé): 〔嘽喛〕泣貌; 字数: 4
喜(xǐ): 快乐；喜悦; 字数: 4
喜(xǐ): 爱好; 字数: 2
喜(xī): 游戏; 字数: 2
喝(yè): 声音嘶哑; 字数: 4
喝(hè): 大声呵呼; 字数: 4
喝(hē): 吸食液体饮料或流质食物; 字数: 11
喟(kuì): 叹息；叹声; 字数: 4
喠(zhǒng): 不能言; 字数: 3
喠(chǒng): 急喘; 字数: 2
喡(wéi): 失声; 字数: 2
喡(wèi): 小儿啼声; 字数: 4
喢(shà): 多言; 字数: 2
喢(shà): 〔喢㗙〕言语轻薄貌; 字数: 7
喢(chè): 多口; 字数: 2
喣(ǔ): 呈示; 字数: 2
喤(huáng): 小儿泣声; 字数: 4
喥(duó): 语言无度（常叠用）; 字数: 7
喦(yán): *春秋*时*宋国*地名; 字数: 11
喦(niè): 多言; 字数: 2
喧(xuān): 惊呼; 字数: 2
喧(xuǎn): 哀泣不止; 字数: 4
喨(iàng): 声音清远，响亮; 字数: 6
喪(sàng): 逃亡; 字数: 2
喪(sāng): 哀葬死者的礼仪; 字数: 7
喫(chī): 吃; 字数: 1
喫(kài): 〔喫詬〕用力争辩; 字数: 6
喬(qiáo): 高而上曲; 字数: 4
喬(jiǎo): 〔喬詰〕意不平; 字数: 5
喭(yàn): 刚猛；粗俗; 字数: 4
喭(yǎn): 小笑貌; 字数: 3
單(dān): 大; 字数: 1
單(chán): 〔單閼〕岁阴名; 字数: 5
單(shàn): 姓; 字数: 1
單(tán): 姓; 字数: 1
喯(pèn): 象声词; 字数: 3
喯(bēn): 〔打喯儿〕方言; 字数: 5
喰(qī): 爱饮食; 字数: 3
喱(l?): *英**美*重量单位之一; 字数: 12
喲(yō): 叹词; 字数: 2
喲(yo): 语气词; 字数: 3
喳(zhā): 喧嚷，喳呼; 字数: 4
喳(chā): 象声词; 字数: 3
喴(ēi): 象声词; 字数: 3
喵(miāo): 象声词; 字数: 3
喹(ku?): 〔喹啉〕有机化合物（英quinoline），亦称氮（杂）萘，分子式C₆H₄（CH）₃N，无色，有特臭的油状液体; 字数: 43
喻(yù): 晓喻；开导; 字数: 4
嗀(hù): 呕吐; 字数: 2
嗂(yáo): 喜; 字数: 1
嗃(hè): 〔嗃嗃〕严酷貌; 字数: 5
嗃(xiāo): 吹管声; 字数: 3
嗃(xiào): 大声嗥叫; 字数: 4
嗃(hù): 声; 字数: 1
嗄(shà): 声音嘶哑; 字数: 4
嗄(xià): 〔嗄饭〕即“下饭”; 字数: 5
嗅(xiù): 用鼻子辨别气味; 字数: 7
嗆(qiāng): 鸟啄食; 字数: 3
嗆(qiàng): 有刺激性的气体或细末进入呼吸器官而感觉难受; 字数: 21
嗆(chéng): 〔嗆哼〕愚怯; 字数: 4
嗇(sè): 收获谷物; 字数: 4
嗈(yōng): 〔嗈嗈〕也作“噰噰”; 字数: 6
嗉(ù): 鸟类喉下盛食物的囊; 字数: 9
嗊(hǒng): 〔囉嗊〕也作“羅嗊”; 字数: 6
嗊(gǒng): 推动，向上或向前推; 字数: 8
嗊(gòng): 〔嗊吥〕地名，在*柬埔寨*; 字数: 10
嗋(ié): 吸; 字数: 1
嗌(yì): 咽喉; 字数: 2
嗌(ài): 噎，咽喉阻塞; 字数: 5
嗎(ma): 语气词; 字数: 3
嗎(má): 方言; 字数: 2
嗎(mǎ): 〔嗎啡〕英文morphine的音译; 字数: 15
嗏(hā): 叹词; 字数: 2
嗐(ài): 大开口; 字数: 3
嗑(kè): 话多；说话; 字数: 4
嗑(kē): 话; 字数: 1
嗑(hé): 合；闭; 字数: 2
嗑(xiá): 笑声; 字数: 2
嗒(tà): 〔嗒然〕忘怀貌；极冷漠貌; 字数: 9
嗒(dā): 䑛; 字数: 1
嗒(da): 助词; 字数: 2
嗓(ǎng): 喉咙，嗓子; 字数: 4
嗔(tián): 〔嗔嗔〕也作“闐闐”; 字数: 6
嗔(chēn): 生气; 字数: 2
嗕(rù): 我国古代北方部族名; 字数: 9
嗖(sù): 笑貌; 字数: 2
嗖(sòu): 驱鸟声; 字数: 3
嗖(sōu): 象声词; 字数: 3
嗗(wā): 饮声；吞咽声; 字数: 5
嗗(gū): 象声词; 字数: 3
嗘(jī): 〔嗘嗘〕象声词; 字数: 5
嗙(bēng): 〔嗙喻〕古舞曲名; 字数: 6
嗙(bàng): 声; 字数: 1
嗙(pǎng): 自夸；吹牛; 字数: 4
嗚(wū): 〔嗚呼〕叹词; 字数: 4
嗚(wù): 哀伤; 字数: 2
嗛(xián): 用嘴含; 字数: 3
嗛(qiǎn): 猴鼠之类颊中贮藏食物的地方; 字数: 13
嗜(shì): 喜爱；爱好; 字数: 4
嗝(é): 禽兽鸣声; 字数: 4
嗞(zī): 叹词; 字数: 2
嗟(jiē): 叹词; 字数: 2
嗟(jiè): 〔咄嗟〕也作“咄唶”; 字数: 6
嗡(wēng): 象声词; 字数: 3
嗡(wěng): 闇声; 字数: 2
嗢(wà): 〔嗢咽〕也作“咽嗢”; 字数: 6
嗣(sì): 继承君位; 字数: 4
嗤(hī): 讥笑; 字数: 2
嗥(háo): 吼叫; 字数: 2
嗦(suō): 〔哆嗦〕见“哆（duō）”; 字数: 7
嗨(hāi): 叹词; 字数: 2
嗩(suǒ): suǒ; 字数: 3
嗪(q韓): 〔哌嗪〕见“哌”; 字数: 4
嗬(ē): 叹词; 字数: 2
嗯(g（又读ń）): 叹词; 字数: 2
嗯(g（又读ň）): 叹词; 字数: 2
嗯(g（又读ǹ）): 叹词; 字数: 2
嗲(diǎ): 方言; 字数: 2
嗵(tōng): 象声词; 字数: 3
嗶(bì): 象声词; 字数: 3
嗷(áo): 〔嗷嗷〕1.哀号声; 字数: 5
嗹(ián): 〔嗹嘍〕言语啰嗦; 字数: 6
嗺(zuī): 撮口作声; 字数: 4
嗺(suī): 催饮（酒）; 字数: 3
嗺(zuǐ): 口丑; 字数: 2
嗻(zhè): 抢白；用言语阻止别人说话; 字数: 11
嗻(zhē): 〔唓嗻〕见“唓”; 字数: 4
嗻(zhù): 语不切要; 字数: 4
嗻(zhe): 语气词; 字数: 3
嗼(mò): 寂寞，寂静无声; 字数: 6
嗽(suō（旧读shuò）): 用嘴吮吸; 字数: 4
嗽(sòu): 咳嗽; 字数: 2
嗾(sǒu): 使狗咬人的声音; 字数: 7
嗿(tǎn): 众人饮食声; 字数: 5
嘀(zhé): 《川篇》音謫; 字数: 4
嘀(dī): 象声词; 字数: 3
嘀(dí): 〔嘀咕〕1.小声说，私下里说; 字数: 9
嘁(zā): 叹息; 字数: 2
嘁(qī): 象声词; 字数: 3
嘂(jiào): 乐器名; 字数: 3
嘃(chōng): 《川篇》音憧; 字数: 4
嘄(jiāo): 象声词; 字数: 3
嘅(kǎi): 叹息; 字数: 2
嘅(gé): *粤*方言; 字数: 5
嘆(tàn): 叹息；叹气; 字数: 4
嘇(shān): 〔唅嘇〕也作“臽嘇”、“啗嘇”; 字数: 8
嘇(càn): 声; 字数: 1
嘈(cáo): 喧闹；声音繁杂; 字数: 6
嘉(jiā): 美；善; 字数: 2
嘌(piāo): 疾速; 字数: 2
嘌(piào): 〔嘌呤〕有机化合物，分子式C₅H₄N₄，无色结晶; 字数: 20
嘍(lǒu): 〔嗹嘍〕见“嗹”; 字数: 4
嘍(lóu): 〔嘍囉〕也作“婁羅”; 字数: 6
嘍(lou): 助词; 字数: 2
嘎(gā): 象声词; 字数: 3
嘎(gǎ): 调皮; 字数: 2
嘏(gǔ（又读jiǎ）): 大；长; 字数: 2
嘐(xiāo): 自大；骄矜; 字数: 4
嘐(jiāo): 象声词; 字数: 3
嘐(bào): 象声词; 字数: 3
嘑(hū): 叫喊；呼唤; 字数: 4
嘑(hù): 〔嘑爾〕呼喝着; 字数: 5
嘒(huì): 象声词; 字数: 3
嘓(uō): 〔嘓嘓〕话语烦琐貌; 字数: 7
嘔(ōu): 象声词; 字数: 3
嘔(ǒu): 吐; 字数: 1
嘔(òu): 呕气; 字数: 2
嘔(xū): 和悦貌; 字数: 3
嘔(chū): 怒声; 字数: 2
嘕(xiān): 喜笑貌; 字数: 3
嘖(zé): 大呼; 字数: 2
嘗(cháng): 辨别滋味; 字数: 4
嘘(xū): 慢慢地呼气; 字数: 5
嘘(shī): 叹词; 字数: 2
嘙(pó): 译音用字; 字数: 4
嘚(dē): 〔嘚嘚〕也作“嘚啵”; 字数: 6
嘚(dēi): 象声词; 字数: 3
嘚(dāi): 叹词; 字数: 2
嘛(má): 佛教“六字真言”之一; 字数: 8
嘛(ma): 助词; 字数: 2
嘜(m鄆): m鄆; 字数: 2
嘝(h?): *英*、*美*容量单位“蒲式耳”（bushel）的旧译名; 字数: 23
嘞(lei): 语气词; 字数: 3
嘞(lē): 〔嘞嘞〕方言; 字数: 4
嘟(ū): 美词; 字数: 2
嘡(tāng): 象声词; 字数: 3
嘢(yě): 方言; 字数: 2
嘣(ēng): 象声词; 字数: 3
嘦(ji鄌): 方言; 字数: 2
嘧(m?): 〔嘧啶〕（英pyrimidine）有机化合物，分子式C₄H₄N₂，无色结晶，有刺激性气味，溶于水、乙醇和乙醚; 字数: 45
嘩(huā): 象声词; 字数: 3
嘪(mǎi): 羊叫声; 字数: 3
嘬(chuài): 叮，咬; 字数: 2
嘬(zuō): 吮吸; 字数: 2
嘭(pēng): 象声词; 字数: 3
嘮(chāo): 〔嘮呶〕喧闹; 字数: 4
嘮(láo): 〔嘮叨〕说话啰唆; 字数: 6
嘮(lào): 方言; 字数: 2
嘯(xiào): 撮口出声; 字数: 4
嘰(jī): 稍微吃一点; 字数: 5
嘲(cháo): 用言语相戏或讥笑; 字数: 8
嘲(zhāo): 鸟鸣; 字数: 2
嘳(uì): 讥讽; 字数: 2
嘴(uǐ): 物体的突出部分; 字数: 7
嘵(xiāo): 因恐惧而发出的叫声; 字数: 9
嘶(ī): 马鸣; 字数: 2
嘸(fǔ): 惊愕; 字数: 2
嘸(None): 方言; 字数: 2
嘹(liáo): 声音清脆悠扬; 字数: 6
嘹(liào): 病呼; 字数: 2
嘺(qiáo): 不知; 字数: 2
嘺(qiào): 口不正; 字数: 3
嘻(ī): 叹词; 字数: 2
嘼(chù): 《集韻》丑救切; 字数: 5
嘽(tān): 《集韻》徒案切; 字数: 5
嘽(chǎn): 宽舒貌; 字数: 3
嘽(chān): 〔嘽咺〕1.恐惧; 字数: 4
嘽(tuō): 〔嘽喛〕泣貌; 字数: 4
嘽(dǎn): 战慄; 字数: 2
嘾(dàn): 含深; 字数: 2
嘾(tán): 贪爱; 字数: 2
嘿(mù): 〔嘿𣐉〕欺诈; 字数: 4
嘿(hēi): 叹词; 字数: 2
噁(wù): 〔喑噁〕见“喑”; 字数: 4
噁(wò): 〔噁噁〕象声词; 字数: 5
噁(ě): 〔噁心〕要呕吐或使人厌恶; 字数: 10
噂(zǔn): 〔噂沓〕聚语，议论纷纷; 字数: 8
噃(fān): 声; 字数: 1
噃(bo): 方言; 字数: 2
噅(uī): 口不正; 字数: 3
噆(cǎn): 衔; 字数: 1
噇(huáng): 吃; 字数: 1
噈(cù): 〔歍噈〕也作“歍𣤶”; 字数: 6
噈(hé): 柔; 字数: 1
噉(àn): 姓; 字数: 1
噊(yù): 诡诈; 字数: 2
噋(tūn): 〔噋噋〕也作“啍啍”; 字数: 6
噋(kuò): 敲击声; 字数: 3
噌(chēng): 〔噌吰〕象声词; 字数: 5
噌(cēng): 〔泓噌〕空嚣; 字数: 4
噍(jiáo): 指活着的人或动物; 字数: 8
噍(jiāo): 声音急促; 字数: 4
噎(wò): 笑; 字数: 1
噎(yē): 食物等堵塞喉咙; 字数: 7
噎(yì): 喉痛; 字数: 2
噎(ài): 气逆; 字数: 2
噏(ī): 收敛; 字数: 2
噔(ēng): 人名用字; 字数: 4
噗(pū): 象声词; 字数: 3
噘(uē): 方言; 字数: 2
噙(q韓): 含; 字数: 1
噚(xún（又读yīngxún）): “英寻”的旧称; 字数: 5
噝(sī): sī; 字数: 2
噞(yǎn): 鱼在水面张口呼吸貌; 字数: 9
噠(dā): 〔嚈噠〕见“嚈”; 字数: 4
噠(dā): 〔呾噠〕见“呾”; 字数: 4
噠(dā): 〔嚈噠〕见“嚈”; 字数: 4
噡(dān): 〔噡噡〕话多，啰唆; 字数: 6
噢(yǔ): 〔噢咻〕抚慰病痛之声; 字数: 8
噢(yù): 〔噢咿〕内心悲伤; 字数: 6
噢(ào): 叫; 字数: 1
噢(ō): 叹词; 字数: 2
噣(zhòu): 鸟嘴; 字数: 2
噣(zhú): 〔噣𪁞〕鸟名; 字数: 4
噣(dú): 毕星的别名; 字数: 5
噤(jìn): 口闭; 字数: 2
噥(nóng): 言多声细而不清晰; 字数: 8
噥(náng): 嗔语; 字数: 2
噦(yuě): 呃逆; 字数: 2
噦(huì): 〔噦噦〕1.象声词; 字数: 5
噧(xiè): 声音高而话多; 字数: 6
器(qì): 器具; 字数: 2
噩(è): 惊恐；惊愕; 字数: 4
噪(ào): 虫鸟喧叫; 字数: 4
噫(ài): 胃里的气体从嘴里出来并发出声音; 字数: 15
噫(yī): 叹词; 字数: 2
噬(shì): 咬；吃; 字数: 2
噭(jiào): 哭声; 字数: 2
噭(qiào): 口; 字数: 1
噮(yuàn): 味道很好; 字数: 4
噯(ǎi): 嗳气，俗称打嗝儿; 字数: 7
噯(ài): 叹词; 字数: 2
噰(yōng): 〔噰噰〕鸟声和鸣; 字数: 6
噰(yǒng): 气咽塞; 字数: 3
噱(jué): 大笑; 字数: 2
噱(xué): 方言; 字数: 2
噲(kuài): 吞咽; 字数: 2
噲(guài): 地名; 字数: 2
噲(kuò): 〔腫噲〕容颜不正常; 字数: 7
噳(yǔ): 〔噳噳〕1.麋鹿或其他动物聚集貌; 字数: 12
噴(pēn): 叱; 字数: 1
噴(pèn): 量词; 字数: 2
噴(pen): 〔嚏噴〕喷嚏; 字数: 4
噴(fèn): 吹奏（管乐器）; 字数: 5
噶(gé): 〔噶點兒〕赌咒; 字数: 5
噶(gá): 译音用字; 字数: 4
噷(xīn): 亲吻; 字数: 2
噷(hēn): 狠; 字数: 1
噸(dūn): dūn; 字数: 3
噹(dāng): dāng; 字数: 4
噻(āi): 闭口不言; 字数: 4
噼(pī): 象声词用字; 字数: 5
噿(uǐ): 鸟喙; 字数: 2
嚀(níng): 〔叮嚀〕见“叮”; 字数: 4
嚁(dí): 〔激嚁〕声音急速; 字数: 6
嚂(làn): 贪，贪求; 字数: 3
嚃(tà): 不咀嚼而吞咽；囫囵吞下; 字数: 10
嚄(huò): 〔嚄唶〕也作“嚄嘖”; 字数: 6
嚅(rú): 〔囁嚅〕见“囁”; 字数: 4
嚆(hāo): 呼叫; 字数: 2
嚇(hè): 怒叱声；用叱声表示拒绝; 字数: 10
嚇(xià): 笑声; 字数: 2
嚈(è): 〔嚈噠〕*中亚*古族名、国名; 字数: 11
嚊(pì): 喘息声; 字数: 3
嚋(chóu): 谁; 字数: 1
嚌(jì): 微微尝一点; 字数: 5
嚌(jiē): 〔嚌嚌〕象声词; 字数: 5
嚌(zhāi): 〔嚌啀〕笑貌; 字数: 4
嚍(jìn): 愤; 字数: 1
嚎(áo): 鸣叫; 字数: 2
嚏(tì): 打喷嚏; 字数: 3
嚓(cā): 象声词; 字数: 3
嚓(chā): 象声词; 字数: 3
嚔(tì): 打喷嚏; 字数: 3
嚕(lǔ): 语; 字数: 1
嚕(lū): 〔噜嗦〕啰嗦；说话繁琐，不干脆; 字数: 11
嚗(bó): 象声词; 字数: 3
嚗(pào): 声; 字数: 1
嚗(bào): 〔嚗喿〕声音嘈杂; 字数: 6
嚘(yōu): 语未定貌; 字数: 4
嚚(yín): 哑，有声而不能成语; 字数: 8
嚛(hù): 味道过于浓烈而刺激口腔; 字数: 11
嚛(yo): 语气词; 字数: 3
嚜(mèi): 〔嚜杘〕狡猾；欺诈; 字数: 6
嚜(me（又读ma）): 语气词; 字数: 3
嚝(ōng): 慨叹；慨叹声; 字数: 5
嚟(lí): 译音用字; 字数: 4
嚥(yàn): 吞食; 字数: 2
嚦(lì): 〔嚦嚦〕也作“嘹嚦”; 字数: 6
嚧(ú): 象声词; 字数: 3
嚨(lóng): 喉咙; 字数: 2
嚩(mó): 《奚韻》文何切; 字数: 5
嚫(chèn): 梵语“达嚫”的省称; 字数: 7
嚬(ín): 笑貌; 字数: 2
嚭(pǐ): 大; 字数: 1
嚮(xiàng): 趋向；向着; 字数: 4
嚮(xiǎng): 古称两阶之间; 字数: 6
嚯(huò): 象声词; 字数: 3
嚱(xī): 声; 字数: 1
嚱(xì): 口哨声; 字数: 3
嚲(uǒ): 垂下; 字数: 2
嚳(kù): 急而又急; 字数: 4
嚴(yán): 紧急；急迫; 字数: 4
嚴(yán): 险要; 字数: 2
嚴(yǎn): 威武貌; 字数: 3
嚵(chán): 尝; 字数: 1
嚵(chān): 䜈言; 字数: 2
嚶(yīng): 象声词; 字数: 3
嚷(rǎng): 大声喊叫; 字数: 4
嚷(rāng): 〔嚷嚷〕1.吵闹; 字数: 4
嚹(la): 方言; 字数: 2
嚼(jiáo): 上下牙齿磨碎食物; 字数: 8
嚼(jué): ”; 字数: 0
嚼(jiào): 〔倒嚼〕即反刍，偶蹄类的某些动物把粗粗咀嚼后咽下去的食物再返回到嘴里细细咀嚼，然后再咽下; 字数: 40
嚾(huān): 喧嚣；喧哗; 字数: 4
嚿(huò): 《川篇》胡白切; 字数: 5
囀(zhuàn): 鸟婉转地叫; 字数: 5
囁(zhé): 多言; 字数: 2
囁(niè): 〔囁嚅〕1.多言；窃窃私语; 字数: 8
囂(xiāo): 喧哗; 字数: 2
囂(áo): 众口谗毁貌; 字数: 5
囃(cà): 助舞声; 字数: 3
囅(chǎn): 笑貌; 字数: 2
囆(chài): 人名; 字数: 2
囈(yì): 笑; 字数: 1
囉(luó): 助词; 字数: 2
囉(luō): 〔囉嗻〕话多; 字数: 4
囉(luo): 助词; 字数: 2
囊(náng): 袋子；口袋; 字数: 4
囊(nāng): 〔囊膪〕猪胸腹部的肥而松的肉; 字数: 12
囋(zá): 多言；声音繁杂; 字数: 6
囋(zàn): 讥讽; 字数: 2
囌(sū): sū; 字数: 2
囐(niè): 论罪; 字数: 2
囑(zhǔ): 叮嘱；嘱咐; 字数: 4
囔(nāng): 〔囔囔〕小声说话; 字数: 6
囔(nang): 〔嘟囔〕〔嘟嘟囔囔〕自言自语; 字数: 10
𠀷(𠀷jī): 《搜真玉鏡》：“𠀷，古的切; 字数: 8
𠏓(𠏓xiān): 《搜真玉鏡》：“𠏓，音仙; 字数: 7
𠏧(𠏧chēng): 金声; 字数: 2
𠙼(𠙼guǎ): 《搜真玉鏡》：“𠙼，古瓦切; 字数: 8
𠮙(ǐ): 象声词; 字数: 3
𠮜(yà): 鸟声; 字数: 2
𠮜(yīn): 《字彙補·口部》：“𠮜，音因; 字数: 9
𠮨(r閚g): 副词; 字数: 2
𠮫(yōu): 小声; 字数: 2
𠮭(ó): 放杖声; 字数: 3
𠮯(ǐ): 说; 字数: 1
𠮰(pǐn): 《川篇》疋錦切; 字数: 5
𠮳(yīng): 〔𠮳𠮴〕呼应声; 字数: 5
𠮵(màng): 《類篇》莫浪切; 字数: 5
𠮿(sa（又读san）): 方言; 字数: 2
𠯀(chuān): 《字彙補·口部》：“𠯀，初先切，音川; 字数: 12
𠯂(cí): 《搜真玉鏡》：“𠯂，音慈，又音倪; 字数: 10
𠯃(wǔ): 《搜真玉鏡》：“𠯃，音武; 字数: 7
𠯈(dài): 尝; 字数: 1
𠯋(ǐ): 可; 字数: 1
𠯍(rán): 〔𠯍𠯍〕1.安然自得貌; 字数: 7
𠯐(huò): 《川篇》音獲; 字数: 4
𠯑(guā): 塞口；塞; 字数: 3
𠯓(zhé): 塞; 字数: 1
𠯔(pǐ): 〔𠯔𠯔〕唾声; 字数: 4
𠯗(zā): 用嘴唇吸；呷; 字数: 5
𠯘(bàn): 〔𠯘喭〕也作“畔喭”; 字数: 6
𠯙(jié): 鸣; 字数: 1
𠯜(hōu): 《川篇》火侯切; 字数: 5
𠯩(zhā): 〔呱𠯩〕象声词; 字数: 5
𠯪(dǎi): 方言; 字数: 2
𠯪(è): 《搜真玉鏡》：“𠯪，五葛切; 字数: 8
𠯫(gē): 《川篇》各何反; 字数: 5
𠯭(pǐ): 《海篇·口部》：“𠯭，音匹; 字数: 8
𠯯(pi鄋): 方言; 字数: 2
𠯰(shí): 《字彙補·口部》：“𠯰，禪習切; 字数: 10
𠯱(liǎng): 《類篇》：“𠯱，音兩; 字数: 5
𠯲(yuè): 《搜真玉鏡》：“𠯲，音月; 字数: 7
𠯴(biàn): 《搜真玉鏡》：“𠯴，音卞; 字数: 7
𠯷(réng): 《字彙補·口部》：“𠯷，而形切; 字数: 10
